Timezone,Datetime,AQI US,AQI CN,PM2.5 (ug/m3),PM10 (ug/m3),CO2 (ppm),Temperature (Celsius),Temperature (Fahrenheit),Humidity (%),Outdoor PM2.5 (ug/m3),HCHO (ppb),TVOC (ppb)
Asia/Ho_Chi_Minh UTC+07:00,2020-05-06 09:00:00,152,79,58,88,437.3,31.8,89.3,74.0,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-06 08:00:00,153,80,59,87,445.8,30.4,86.7,78.8,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-06 07:00:00,153,80,59,84,467.2,28.4,83.1,84.4,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-06 06:00:00,152,77,57,73,492.0,26.9,80.4,88.3,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-06 05:00:00,157,90,67,86,492.6,27.2,80.9,87.0,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-06 04:00:00,144,73,53,71,480.8,27.3,81.1,87.0,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-06 03:00:00,152,79,58,79,466.4,27.5,81.6,85.8,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-06 02:00:00,153,81,59,78,466.5,27.8,82.1,84.8,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-06 01:00:00,162,102,77,109,464.5,28.0,82.4,84.3,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-06 00:00:00,147,74,54,70,446.5,28.3,82.9,82.0,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-05 23:00:00,154,83,61,82,443.0,28.4,83.2,81.5,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-05 22:00:00,160,97,73,102,439.3,28.5,83.3,81.0,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-05 21:00:00,168,117,89,132,433.8,28.8,83.9,80.5,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-05 20:00:00,175,134,103,159,423.6,29.4,84.8,77.6,,0,0
Asia/Ho_Chi_Minh UTC+07:00,2020-05-05 19:00:00,204,204,154,247,420.1,29.8,85.6,73.6,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-05 18:00:00,224,224,174,278,415.1,30.1,86.2,71.9,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-05 17:00:00,176,137,104,160,410.1,30.7,87.2,66.3,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-05 16:00:00,160,98,74,108,408.8,31.2,88.1,61.8,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-05 15:00:00,163,106,80,116,410.3,31.5,88.6,63.2,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-05 14:00:00,158,92,69,98,411.4,31.7,89.1,62.8,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-05 13:00:00,160,97,72,101,413.6,31.9,89.5,63.7,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-05 12:00:00,161,100,75,105,414.6,32.1,89.7,70.1,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-05 11:00:00,168,117,88,130,415.3,32.1,89.8,68.8,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-05 10:00:00,109,54,39,58,410.5,31.9,89.3,68.8,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-05 09:00:00,119,60,43,58,419.4,30.8,87.5,76.0,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-05 08:00:00,134,68,49,67,431.6,29.3,84.7,80.9,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-05 07:00:00,153,81,60,81,447.9,27.7,81.8,86.4,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-05 06:00:00,156,87,64,83,463.3,26.2,79.2,91.5,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-05 05:00:00,154,84,62,83,463.8,25.6,78.1,92.8,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-05 04:00:00,156,87,65,86,460.8,26.2,79.1,92.8,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-05 03:00:00,156,88,65,82,459.3,26.3,79.4,93.0,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-05 02:00:00,157,90,67,89,446.5,26.7,80.1,92.3,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-05 01:00:00,157,91,68,89,441.5,27.0,80.5,92.0,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-05 00:00:00,160,98,73,98,438.8,27.4,81.3,92.0,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-04 23:00:00,165,109,82,112,433.8,27.5,81.6,92.3,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-04 22:00:00,174,130,99,135,439.0,27.8,82.0,92.0,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-04 21:00:00,194,185,139,215,437.0,28.1,82.6,90.5,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-04 20:00:00,197,191,144,223,427.8,28.6,83.4,88.0,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-04 19:00:00,277,277,227,357,425.7,29.1,84.3,84.8,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-04 18:00:00,315,314,264,405,424.7,29.6,85.3,81.3,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-04 17:00:00,296,297,247,378,421.0,30.1,86.1,77.6,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-04 16:00:00,240,240,190,284,416.7,30.2,86.4,70.0,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-04 15:00:00,210,209,159,237,416.4,30.1,86.1,71.5,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-04 14:00:00,192,179,135,195,416.9,30.2,86.3,74.8,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-04 13:00:00,178,142,109,156,418.3,30.3,86.5,77.1,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-04 12:00:00,177,138,105,152,424.7,30.5,86.9,81.0,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-04 11:00:00,186,163,124,187,429.5,30.6,87.1,82.8,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-04 10:00:00,176,136,104,152,428.1,30.8,87.4,78.6,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-04 09:00:00,159,95,71,105,424.7,29.9,85.8,80.3,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-04 08:00:00,165,109,82,124,429.9,28.3,82.9,88.5,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-04 07:00:00,158,91,68,98,423.4,27.2,81.0,92.7,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-04 06:00:00,179,143,109,150,443.0,26.7,80.1,94.0,,,
Asia/Ho_Chi_Minh UTC+07:00,2020-05-04 05:00:00,189,172,130,181,451.8,26.5,79.7,94.0,,,
